#ln_tau	ln_tauerr_up ln_tauerr_low	tau	tauerr_up	tauerr_low	z
4.17	0.34	0.27	64.71545211	22.00325372	17.47317207	1.453
3.80 	0.31	0.25	44.70118449	13.85736719	11.17529612	0.558
2.26	0.18	0.17	9.583089167	1.72495605	1.629125158	1.344
4.26	0.47	0.35	70.80998345	33.28069222	24.78349421	0.845
3.69	0.32	0.26	40.04484696	12.81435103	10.41166021	1.492
3.21	0.22	0.19	24.77908622	5.451398969	4.708026383	1.014
3.51	0.22	0.19	33.44826778	7.358618912	6.355170879	1.813
4.41	0.38	0.28	82.2694635	31.26239613	23.03544978	0.735
4.08	0.33	0.26	59.14546985	19.51800505	15.37782216	1.027
3.12	0.23	0.20 	22.64637964	5.208667318	4.529275929	1.071
3.18	0.26	0.23	24.04675355	6.252155924	5.530753317	1.560 
4.96	0.64	0.40 	142.5937959	91.26002937	57.03751836	0.401
3.61	0.31	0.26	36.96605281	11.45947637	9.611173732	0.621
